Student_Age,1,18-21,
Student_Age,2,22-25,
Student_Age,3,above 26,
Sex,1,female,
Sex,2,male,
Graduated_high_school_type,1,private,
Graduated_high_school_type,2,state,
Graduated_high_school_type,3,other,
Scholarship_type,1,None,
Scholarship_type,2,25%,
Scholarship_type,3,50%,
Scholarship_type,4,75%,
Scholarship_type,5,Full,
Additional_work,1,Yes,
Additional_work,2,No,
Regular artistic or sports activity,1,Yes,
Regular artistic or sports activity,2,No,
Do you have a partner,1,Yes,
Do you have a partner,2,No,
Total_salary_if_available,1,USD 135-200,
Total_salary_if_available,2,USD 201-270,
Total_salary_if_available,3,USD 271-340,
Total_salary_if_available,4,USD 341-410,
Total_salary_if_available,5,above 410,
Transportation to the university,1,Bus,
Transportation to the university,2,Private car/taxi,
Transportation to the university,3,Bicycle,
Transportation to the university,4,Other,
Accommodation_type,1,Rental,
Accommodation_type,2,Dormitory,
Accommodation_type,3,With family,
Accommodation_type,4,Other,
Mothers_education,1,Primary school,
Mothers_education,2,Secondary school,
Mothers_education,3,High school,
Mothers_education,4,University,
Mothers_education,5,MSc.,
Mothers_education,6,Ph.D.,
Fathers_education ,1,Primary school,
Fathers_education ,2,Secondary school,
Fathers_education ,3,High school,
Fathers_education ,4,University,
Fathers_education ,5,MSc.,
Fathers_education ,6,Ph.D.,
Number_of_sisters/brothers,1,1,
Number_of_sisters/brothers,2,2,
Number_of_sisters/brothers,3,3,
Number_of_sisters/brothers,4,4,
Number_of_sisters/brothers,5,5 or above,
Parental_status,1,Married,
Parental_status,2,Divorced,
Parental_status,3,Died (one of them or both),
Mothers_occupation,1,Retired,
Mothers_occupation,2,Housewife,
Mothers_occupation,3,Government officer,
Mothers_occupation,4,Private sector employee,
Mothers_occupation,5,Self-employment,
Mothers_occupation,6,Other,
Fathers_occupation,1,Retired,
Fathers_occupation,2,Government officer,
Fathers_occupation,3,Private sector employee,
Fathers_occupation,4,Self-employment,
Fathers_occupation,5,Other,
Weekly_study_hours,1,None,
Weekly_study_hours,2,Less than 5 hours,
Weekly_study_hours,3,6-10 hours,
Weekly_study_hours,4,11-20 hours,
Weekly_study_hours,5,More than 20 hours,
Reading_frequency_noScience,1,None,
Reading_frequency_noScience,2,Sometimes,
Reading_frequency_noScience,3,Often,
Reading_frequency_science,1,None,
Reading_frequency_science,2,Sometimes,
Reading_frequency_science,3,Often,
Attendance_to_the_seminars,1,Yes,
Attendance_to_the_seminars,2,No,
Impact of your projects/activities on your success,1,Positive,
Impact of your projects/activities on your success,2,Negative,
Impact of your projects/activities on your success,3,Neutral,
Attendance_to_classes,1,Always,
Attendance_to_classes,2,Sometimes,
Attendance_to_classes,3,Never,
Preparation to midterm exams 1,1,Alone,
Preparation to midterm exams 1,2,With friends,
Preparation to midterm exams 1,3,Not applicable,
Preparation to midterm exams 2,1,Closest date to the exam,
Preparation to midterm exams 2,2,Regularly during the semester,
Preparation to midterm exams 2,3,Never,
Taking notes in classes,1,Never,
Taking notes in classes,2,Sometimes,
Taking notes in classes,3,Always,
Listening in classes,1,Never,
Listening in classes,2,Sometimes,
Listening in classes,3,Always,
Discussion improves my interest and success in the course,1,Never,
Discussion improves my interest and success in the course,2,Sometimes,
Discussion improves my interest and success in the course,3,Always,
Flip-classroom,1,Not useful,
Flip-classroom,2,Useful,
Flip-classroom,3,Not applicable,
Cumulative_GPA,1,Less than 2.00,
Cumulative_GPA,2,2.00-2.49,
Cumulative_GPA,3,2.50-2.99,
Cumulative_GPA,4,3.00-3.49,
Cumulative_GPA,5,Above 3.49,
Expected_GPA,1,Less than 2.00,
Expected_GPA,2,2.00-2.49,
Expected_GPA,3,2.50-2.99,
Expected_GPA,4,3.00-3.49,
Expected_GPA,5,Above 3.49,
COURSE_ID,1,First Semester,
COURSE_ID,2,Second Semester,
COURSE_ID,3,Third Semester,
COURSE_ID,4,Fourth Semester,
COURSE_ID,5,Fifth Semester,
COURSE_ID,6,Sixth Semester,
COURSE_ID,7,Seventh Semester,
COURSE_ID,8,Eighth Semester,
COURSE_ID,9,Ninth Semester or later,
GRADE,0,Fail,
GRADE,1,DD,
GRADE,2,DC,
GRADE,3,CC,
GRADE,4,CB,
GRADE,5,BB,
GRADE,6,BA,
GRADE,7,AA,
